ID,BID,UID,ST,SX,SY,ET,EX,EY,EC,DU,DS
2838,140662,4074,2020/8/11 18:22,121.389,31.32,2020/8/11 18:35,121.374,31.314,7,13,1575.175767
2839,26039,11498,2020/8/11 18:24,121.495,31.294,2020/8/11 18:42,121.49,31.305,1,18,1309.225875
2840,174089,10631,2020/8/11 18:25,121.406,31.159,2020/8/11 18:33,121.411,31.151,7,8,1006.983703
2841,6259,11295,2020/8/11 18:26,121.476,31.231,2020/8/11 18:55,121.447,31.224,7,29,2869.959644
2842,35486,5395,2020/8/11 18:28,121.515,31.268,2020/8/11 18:34,121.509,31.272,0,6,723.320426
2843,55532,10116,2020/8/11 18:29,121.369,31.208,2020/8/11 19:21,121.441,31.213,1,52,6883.514921
2844,96129,9309,2020/8/11 18:30,121.479,31.261,2020/8/11 18:45,121.497,31.26,7,15,1717.967338
2845,31120,4527,2020/8/11 18:32,121.441,31.188,2020/8/11 19:02,121.444,31.196,3,30,931.932076
2846,142097,917,2020/8/11 18:33,121.513,31.294,2020/8/11 18:42,121.509,31.297,7,9,505.641196
2847,41485,10428,2020/8/11 18:34,121.509,31.259,2020/8/11 18:49,121.496,31.277,5,15,2348.56732
2848,149507,8831,2020/8/11 18:35,121.52,31.229,2020/8/11 19:12,121.528,31.194,7,37,3954.73163
2849,95930,10505,2020/8/11 18:37,121.514,31.297,2020/8/11 19:07,121.497,31.264,4,30,4000.963892
2850,110386,4800,2020/8/11 18:38,121.544,31.293,2020/8/11 18:58,121.542,31.275,7,20,2004.804078
2851,194294,5583,2020/8/11 18:40,121.496,31.269,2020/8/11 19:10,121.525,31.257,2,30,3065.747011
2852,188929,803,2020/8/11 18:42,121.381,31.162,2020/8/11 19:03,121.35,31.156,7,21,3029.644752
2853,194473,9778,2020/8/11 18:43,121.547,31.29,2020/8/11 18:52,121.535,31.285,7,9,1269.98406
2854,94956,1314,2020/8/11 18:43,121.53,31.283,2020/8/11 18:50,121.526,31.29,0,7,864.537787
2855,87743,9971,2020/8/11 18:45,121.407,31.315,2020/8/11 18:52,121.398,31.308,7,7,1156.009223
2856,125308,9444,2020/8/11 18:47,121.433,31.202,2020/8/11 18:54,121.429,31.211,2,7,1068.188097
2857,111449,2581,2020/8/11 18:48,121.323,31.3,2020/8/11 19:06,121.298,31.311,3,18,2674.26477
2858,160246,3072,2020/8/11 18:50,121.451,31.138,2020/8/11 19:04,121.447,31.126,0,14,1384.073878
2859,168225,9080,2020/8/11 18:52,121.349,31.221,2020/8/11 19:06,121.328,31.224,1,14,2028.375607
2860,187577,6539,2020/8/11 18:54,121.506,31.321,2020/8/11 19:04,121.49,31.318,3,10,1558.850621
2861,35093,5456,2020/8/11 18:56,121.326,31.132,2020/8/11 19:07,121.317,31.145,7,11,1677.5314
2862,71556,9866,2020/8/11 18:57,121.485,31.239,2020/8/11 19:14,121.47,31.226,0,17,2029.720169
2863,41866,10748,2020/8/11 18:58,121.41,31.226,2020/8/11 19:17,121.402,31.242,0,19,1930.772269
2864,128970,2315,2020/8/11 19:01,121.531,31.323,2020/8/11 19:11,121.527,31.328,0,10,672.513696
2865,151320,7870,2020/8/11 19:03,121.558,31.193,2020/8/11 19:30,121.572,31.158,7,27,4103.624858
2866,104130,7275,2020/8/11 19:05,121.438,31.187,2020/8/11 19:22,121.441,31.183,5,17,527.689289
2867,27137,11458,2020/8/11 19:07,121.466,31.204,2020/8/11 19:15,121.467,31.194,5,8,1112.817552
2868,186286,10211,2020/8/11 19:09,121.493,31.372,2020/8/11 19:34,121.499,31.392,5,25,2289.788372
2869,43214,6942,2020/8/11 19:10,121.474,31.235,2020/8/11 19:17,121.478,31.23,7,7,672.718732
2870,75621,10022,2020/8/11 19:12,121.521,31.287,2020/8/11 19:18,121.518,31.283,3,6,527.532022
2871,110021,9188,2020/8/11 19:13,121.501,31.275,2020/8/11 19:20,121.503,31.267,6,7,907.212262
2872,25070,8868,2020/8/11 19:15,121.488,31.308,2020/8/11 19:19,121.492,31.311,3,4,505.599269
2873,52795,8232,2020/8/11 19:16,121.491,31.32,2020/8/11 19:39,121.483,31.303,0,23,2032.900664
2874,187011,11624,2020/8/11 19:17,121.383,31.134,2020/8/11 19:21,121.382,31.132,4,4,241.383299
2875,17307,4970,2020/8/11 19:19,121.436,31.264,2020/8/11 19:22,121.43,31.263,3,3,582.100623
2876,194654,6390,2020/8/11 19:22,121.479,31.263,2020/8/11 20:14,121.485,31.252,5,52,1346.864895
2877,105713,596,2020/8/11 19:23,121.431,31.252,2020/8/11 19:49,121.391,31.269,7,26,4250.512075
2878,85903,9393,2020/8/11 19:25,121.433,31.196,2020/8/11 20:43,121.429,31.289,7,78,10318.28697
2879,25527,3284,2020/8/11 19:27,121.544,31.293,2020/8/11 19:47,121.539,31.28,1,20,1517.95881
2880,57135,5611,2020/8/11 19:28,121.428,31.303,2020/8/11 19:54,121.442,31.307,7,26,1404.63789
2881,98822,10052,2020/8/11 19:29,121.435,31.324,2020/8/11 19:36,121.441,31.33,7,7,876.737649
